证券代码,证券名称,买入总额,卖出总额,买入数量,卖出数量,买入手续费,卖出手续费,卖出印花税,卖出过户费,卖出清算费,卖出附加费,已实现盈亏,未实现盈亏,总盈亏,总收益率(%),当前持仓数量,当前价格,平均持仓成本
00700,腾讯控股,149913,142389,300,-300,90,85,143,3,12,0,-7857,0,-7857,-5,0,0,0
01810,小米集团－Ｗ,59315,60642,1200,-1200,36,36,63,9,5,0,1177,0,1177,2,0,0,0
06186,中国飞鹤,11086,10643,2000,-2000,10,6,11,2,1,0,-473,0,-473,-4,0,0,0
09988,阿里巴巴－Ｗ,171310,139032,1500,-1200,103,83,143,17,12,0,-32637,-1830,-34467,-20,300,113,119
113070,渝水转债,0,1230,0,-10,0,1,0,0,0,0,1229,0,1229,0,0,0,0
118053,正帆转债,0,1216,0,-10,0,1,0,0,0,0,1215,0,1215,0,0,0,0
118055,N伟测转,0,1291,0,-10,0,1,0,0,0,0,1290,0,1290,0,0,0,0
123254,亿纬转债,2308,3447,20,-30,2,3,0,0,0,0,1133,0,1133,49,0,0,0
159509,纳指科技,4803,4902,3000,-3000,5,5,0,0,0,0,89,0,89,2,0,0,0
159633,ZZ1000,57069,55807,22500,-22500,50,55,0,0,0,0,-1367,0,-1367,-2,0,0,0
159636,港科技30,100941,94243,73200,-70700,60,90,0,0,0,0,-6849,0,-6849,-7,0,0,0
159659,纳指,149862,149955,92500,-92500,67,114,0,0,0,0,-87,0,-87,0,0,0,0
159692,证券30,23580,23310,18000,-18000,6,10,0,0,0,0,-286,0,-286,-1,0,0,0
159699,恒生消费,37925,37566,37600,-37600,20,45,0,0,0,0,-424,0,-424,-1,0,0,0
159941,纳指ETF,7374,7620,6000,-6000,5,10,0,0,0,0,231,0,231,3,0,0,0
159985,豆粕ETF,60004,60206,33300,-33300,30,31,0,0,0,0,141,0,141,0,0,0,0
159992,创新药,34551,32555,47300,-42300,35,45,0,0,0,0,-2076,0,-2076,-6,0,0,0
300014,亿纬锂能,97753,96196,2100,-2100,56,70,48,0,0,0,-1731,0,-1731,-2,0,0,0
510880,红利ETF,9570,9543,3000,-3000,5,5,0,0,0,0,-37,0,-37,0,0,0,0
511090,30年国债,46622,46640,400,-400,2,2,0,0,0,0,14,0,14,0,0,0,0
511130,国债30年,43123,43252,400,-400,2,2,0,0,0,0,125,0,125,0,0,0,0
511260,十年国债,92113,92408,700,-700,5,5,0,0,0,0,286,0,286,0,0,0,0
511990,华宝添益,50000,50002,500,-500,0,0,0,0,0,0,2,0,2,0,0,0,0
512050,A500E,21384,21054,22000,-22000,5,10,0,0,0,0,-345,0,-345,-2,0,0,0
513030,德国ETF,120814,121232,69300,-69300,50,110,0,0,0,0,258,0,258,0,0,0,0
513120,HK创新药,104766,100880,129500,-129500,16,15,0,0,0,0,-3916,0,-3916,-4,0,0,0
513500,标普500,27627,27280,12400,-12400,7,7,0,0,0,0,-361,0,-361,-1,0,0,0
517800,AI50,10945,11124,16000,-16000,10,15,0,0,0,0,154,0,154,1,0,0,0
518850,黄金9999,110631,111416,16000,-16000,55,70,0,0,0,0,660,0,660,1,0,0,0
518880,黄金ETF,21464,21574,3600,-3600,15,25,0,0,0,0,70,0,70,0,0,0,0
560850,信创50,25232,0,20000,0,15,0,0,0,0,0,-25247,0,-25247,-100,0,0,0
561590,1000增强,95321,96684,95800,-95800,24,67,0,0,0,0,1272,0,1272,1,0,0,0
563000,中国A50,39298,39212,49000,-49000,10,25,0,0,0,0,-121,0,-121,0,0,0,0
563020,XD低波红,0,16346,0,-13900,0,5,0,0,0,0,16341,0,16341,0,0,0,0
563020,低波红利,16638,0,13900,0,5,0,0,0,0,0,-16643,0,-16643,-100,0,0,0
588000,科创50,53363,52789,50200,-50200,13,30,0,0,0,0,-617,0,-617,-1,0,0,0
588200,科创芯片,35772,34464,24000,-24000,25,35,0,0,0,0,-1368,0,-1368,-4,0,0,0
600036,招商银行,36870,38330,1000,-1000,9,9,19,0,0,0,1423,0,1423,4,0,0,0
600900,长江电力,280905,253343,9800,-8800,106,117,127,3,0,0,-27914,488,-27426,-10,1000,30,30
601919,中远海控,113463,112764,7900,-7900,39,85,56,1,0,0,-880,0,-880,-1,0,0,0
601985,中国核电,175175,175510,18500,-18500,84,100,88,2,0,0,62,0,62,0,0,0,0
,,,,,,,,,,,,,,,,,,
,,,,,,1077,1430,698,37,30,,,,,,,,
